the,a,50033612,50385.16,0.11
be,v,32394756,32622.71,0.03
and,c,24778098,24952.2,0.09
a,a,24225478,24395.69,0.04
of,i,23159162,23321.89,0.01
to,t,16770155,16887.99,0.02
in,i,15670692,15780.8,0.08
i,p,14217601,14317.5,1.0
you,p,12079413,12164.29,0.2
it,p,11042044,11119.63,0.24
have,v,10514314,10588.23,0.02
that,c,8319512,8377.97,0.01
for,i,8194970,8252.55,0.05
do,v,8186412,8244.7,0.1
he,p,6467470,6512.91,0.3
with,i,6442861,6488.13,0.04
on,i,6080156,6122.88,0.05
this,d,5541440,5580.3,0.22
n't,x,5285354,5322.49,0.01
we,p,5180711,5217.11,0.32
not,x,4655980,4688.69,0.07
but,c,4523086,4554.87,0.37
they,p,4503650,4535.29,0.23
say,v,4096416,4125.2,0.01
at,i,4024079,4052.35,0.07
what,d,3807502,3834.25,0.34
his,a,3718978,3745.11,0.07
from,i,3711425,3737.5,0.04
go,v,3546732,3571.65,0.05
or,c,3420339,3444.37,0.05
by,i,3372222,3395.92,0.06
get,v,3347615,3371.14,0.07
she,p,3188078,3210.48,0.32
my,a,3106939,3128.77,0.15
can,v,3091046,3113.52,0.06
as,c,2946119,2966.82,0.11
know,v,2761628,2781.03,0.02
if,c,2709809,2728.85,0.33
me,p,2638743,2657.28,0.03
your,a,2577505,2595.62,0.09
all,d,2503556,2521.15,0.11
who,p,2493429,2510.95,0.07
about,i,2427703,2444.76,0.02
their,a,2417058,2434.04,0.03
will,v,2372215,2391.52,0.03
so,r,2369749,2382.89,0.36
would,v,2349400,2365.91,0.03
make,v,2290830,2306.93,0.04
just,r,2270900,2286.86,0.12
up,r,2108756,2123.57,0.02
think,v,2077762,2092.36,0.03
time,n,2018725,2032.91,0.07
there,e,1980173,1994.09,0.36
see,v,1958700,1972.46,0.07
her,a,1931189,1944.76,0.08
out,r,1828593,1841.44,0.02
one,m,1816593,1829.36,0.17
come,v,1802158,1814.82,0.14
people,n,1800205,1812.85,0.08
take,v,1768822,1780.53,0.06
year,n,1729962,1742.14,0.03
him,p,1717209,1729.27,0.02
them,p,1701589,1713.54,0.01
some,d,1684262,1696.1,0.12
want,v,1671524,1683.27,0.03
how,r,1666469,1678.18,0.29
when,c,1650353,1661.95,0.27
which,d,1613281,1624.62,0.04
now,r,1601991,1613.25,0.25
like,i,1583444,1594.57,0.06
other,j,1539952,1550.77,0.04
could,v,1529795,1540.54,0.03
our,a,1467955,1478.27,0.1
into,i,1461573,1471.84,0.01
here,r,1413594,1423.53,0.15
then,r,1344434,1353.88,0.21
than,c,1342798,1352.23,0.01
look,v,1338475,1347.88,0.16
way,n,1260011,1268.86,0.03
more,r,1248955,1257.73,0.04
these,d,1223310,1231.91,0.19
no,a,1206112,1214.59,0.13
thing,n,1202004,1210.45,0.03
well,r,1189096,1197.45,0.56
because,c,1167024,1175.22,0.14
also,r,1142799,1150.83,0.07
two,m,1139973,1147.98,0.1
use,v,1126042,1133.95,0.05
tell,v,1119692,1127.56,0.07
good,j,1111721,1119.53,0.17
first,m,1101803,1109.54,0.12
man,n,1091176,1099.05,0.12
day,n,1068902,1076.41,0.07
find,v,1051936,1059.33,0.03
give,v,1048189,1055.55,0.08
new,j,1017175,1024.32,0.12
us,p,992207,999.18,0.01
any,d,981535,988.43,0.06
those,d,964458,971.23,0.1
very,r,963552,970.32,0.06
need,v,945498,952.14,0.02
back,r,938649,945.24,0.02
should,v,920908,927.38,0.05
even,r,920346,926.81,0.13
only,r,905093,911.45,0.07
many,d,903833,910.18,0.11
really,r,895900,902.19,0.08
work,v,854095,860.1,0.03
life,n,852257,858.25,0.07
why,r,832911,838.76,0.42
right,r,830729,836.57,0.17
down,r,820294,826.06,0.02
try,v,795248,800.84,0.05
let,v,780929,786.42,0.39
something,p,779903,785.45,0.06
too,r,771375,776.79,0.05
call,v,768117,773.51,0.05
woman,n,759817,765.16,0.12
may,v,757742,763.07,0.03
still,r,757548,762.87,0.1
through,i,752325,757.61,0.05
mean,v,748840,754.1,0.02
after,i,745154,750.39,0.14
never,r,744608,749.84,0.07
world,n,732511,737.66,0.18
feel,v,722826,727.9,0.02
yeah,u,703928,708.87,0.83
great,j,696589,701.9,0.13
last,m,692989,697.86,0.1
child,n,685426,690.24,0.08
oh,u,685234,690.05,0.93
over,i,679617,684.39,0.06
ask,v,676596,681.35,0.04
school,n,660191,664.83,0.15
state,n,638012,642.49,0.25
much,d,636642,641.12,0.03
talk,v,635614,640.08,0.04
keep,v,626487,630.89,0.09
leave,v,622651,627.03,0.05
put,v,616952,621.29,0.07
help,v,606887,610.55,0.05
big,j,600364,604.58,0.13
where,r,597351,601.55,0.26
same,d,592441,596.6,0.03
own,d,579172,583.24,0.01
while,c,579023,583.09,0.27
start,v,578246,582.31,0.04
three,m,570885,574.9,0.1
high,j,567720,571.71,0.11
every,a,567233,571.22,0.13
another,d,565094,569.1,0.15
become,v,561963,565.24,0.01
most,r,561354,565.3,0.03
between,i,558517,562.44,0.03
happen,v,552797,556.68,0.01
family,n,544520,548.35,0.06
president,n,538319,542.1,0.48
old,j,537424,541.2,0.08
yes,u,537066,540.84,0.76
house,n,537037,540.81,0.38
show,v,536889,540.66,0.04
again,r,530706,534.43,0.07
student,n,530196,533.92,0.07
seem,v,522940,526.61,0.02
might,v,521992,525.66,0.02
part,n,517693,521.33,0.06
hear,v,516483,520.11,0.03
its,a,511922,515.52,0.0
place,n,508803,512.38,0.03
problem,n,504175,507.72,0.03
believe,v,500511,504.03,0.03
country,n,499369,502.88,0.04
always,r,492943,496.41,0.04
week,n,484834,488.24,0.04
point,n,484094,487.5,0.04
hand,n,481332,484.71,0.03
off,r,479459,482.83,0.02
play,v,478740,481.38,0.03
turn,v,477668,481.02,0.06
few,d,472804,476.13,0.03
group,n,470971,474.28,0.08
such,d,468655,471.95,0.1
against,i,467705,470.99,0.02
run,v,465066,468.33,0.04
guy,n,464082,467.34,0.02
case,n,458383,461.6,0.03
question,n,457301,460.51,0.04
night,n,452094,455.27,0.1
live,v,450380,453.54,0.05
game,n,445149,448.28,0.1
number,n,444412,447.53,0.05
write,v,439865,442.96,0.04
bring,v,439445,442.53,0.05
without,i,438567,441.65,0.09
money,n,437583,440.66,0.04
lot,n,437545,440.62,0.02
book,n,435387,438.45,0.09
system,n,435303,438.36,0.06
government,n,434971,435.48,0.08
next,m,433864,436.91,0.11
city,n,433843,436.89,0.34
company,n,432469,435.51,0.08
story,n,432184,435.22,0.06
today,r,431562,434.59,0.21
job,n,430995,434.02,0.04
move,v,430324,433.35,0.06
must,v,427796,430.8,0.03
bad,j,426558,429.56,0.06
friend,n,423755,426.73,0.05
during,i,423624,426.6,0.15
begin,v,421878,424.84,0.05
love,v,417532,420.47,0.08
each,d,414659,417.57,0.14
hold,v,413837,416.74,0.09
different,j,413578,416.48,0.02
american,j,410698,413.58,1.0
little,j,404660,407.5,0.06
before,i,402959,405.79,0.05
ever,r,402590,405.42,0.05
word,n,402216,405.04,0.06
fact,n,399574,402.38,0.02
read,v,386137,388.85,0.07
anything,p,384508,387.21,0.06
nothing,p,383744,386.44,0.18
sure,j,383701,386.4,0.1
small,j,382563,384.67,0.03
month,n,381833,384.52,0.02
program,n,375708,378.35,0.07
maybe,r,374325,376.96,0.45
under,i,373903,376.53,0.09
business,n,373744,376.37,0.08
home,n,370758,373.36,0.07
kind,n,367584,370.17,0.02
stop,v,366567,369.14,0.14
pay,v,365255,367.82,0.03
study,n,364915,367.48,0.11
since,c,363805,366.36,0.2
issue,n,362137,364.68,0.02
name,n,361916,364.46,0.04
idea,n,358006,360.52,0.02
room,n,357682,360.2,0.07
percent,n,357515,360.03,0.01
far,r,357192,359.7,0.06
away,r,355515,358.01,0.02
law,n,354958,357.45,0.12
actually,r,353857,356.34,0.11
large,j,353703,356.19,0.03
though,c,352608,355.09,0.14
provide,v,351941,354.41,0.01
lose,v,351650,354.12,0.04
power,n,351483,353.95,0.09
kid,n,351451,353.92,0.07
war,n,350575,353.04,0.32
understand,v,349141,351.59,0.03
head,n,348664,351.11,0.05
mother,n,348470,350.92,0.12
real,j,348239,350.69,0.07
best,j,348202,350.65,0.08
team,n,348063,350.51,0.06
eye,n,347153,349.59,0.04
long,r,345462,347.89,0.05
side,n,342841,345.25,0.05
water,n,342574,344.98,0.07
young,j,341002,343.4,0.05
wait,v,339926,342.31,0.22
okay,r,339699,342.09,0.74
both,d,338454,340.83,0.15
yet,r,338408,340.79,0.22
meet,v,333954,336.3,0.05
service,n,332313,334.65,0.21
area,n,331866,334.2,0.06
important,j,331646,333.98,0.01
person,n,330987,333.31,0.02
hey,u,330236,332.56,0.87
thank,v,330129,332.45,0.65
someone,p,328998,331.31,0.1
end,n,328699,331.01,0.04
change,v,327637,329.94,0.03
however,r,326015,328.35,0.47
around,r,324064,326.34,0.02
hour,n,323999,326.28,0.03
everything,p,323760,326.03,0.15
national,j,321960,324.22,0.49
four,m,319834,322.08,0.11
line,n,319492,321.74,0.05
girl,n,319120,321.36,0.11
watch,v,318772,321.01,0.1
until,c,318392,320.63,0.06
father,n,318173,320.41,0.15
sit,v,315022,317.24,0.08
create,v,314631,316.84,0.03
information,n,314341,316.55,0.08
car,n,313437,315.64,0.05
learn,v,312649,314.85,0.05
least,r,311569,313.76,0.01
already,r,311502,313.71,0.03
kill,v,307305,309.46,0.05
minute,n,306541,308.19,0.03
party,n,304325,306.46,0.22
include,v,304197,306.33,0.02
stand,v,303462,305.59,0.05
together,r,302942,305.1,0.04
follow,v,300266,302.38,0.09
health,n,300262,302.37,0.21
remember,v,298221,300.32,0.15
often,r,295709,297.79,0.04
reason,n,295577,297.65,0.02
speak,v,295523,297.6,0.05
ago,r,294921,296.99,0.01
set,v,293144,295.2,0.05
black,j,293101,295.16,0.25
member,n,292596,294.65,0.05
community,n,290489,292.53,0.1
once,r,290446,292.49,0.14
social,j,290372,292.41,0.18
news,n,289175,291.21,0.36
allow,v,288559,290.59,0.02
win,v,288308,290.33,0.03
body,n,287817,289.84,0.04
lead,v,285740,287.75,0.03
continue,v,282352,284.34,0.04
whether,c,280973,282.95,0.1
enough,r,280789,282.76,0.03
spend,v,280371,282.34,0.02
level,n,279770,281.74,0.02
able,j,279559,281.52,0.01
political,j,279410,281.37,0.05
almost,r,279393,281.37,0.08
boy,n,279283,281.25,0.15
university,n,279132,281.09,0.75
stay,v,275504,277.44,0.12
add,v,275233,277.17,0.13
later,r,274178,276.1,0.11
five,m,270274,272.17,0.12
probably,r,269732,271.63,0.08
center,n,268821,270.71,0.46
among,i,267798,269.68,0.13
face,n,266458,268.33,0.03
public,j,265061,266.92,0.14
die,v,264537,266.4,0.04
food,n,262697,264.54,0.11
else,r,261804,263.64,0.01
history,n,261045,262.88,0.12
buy,v,260201,262.03,0.06
result,n,259961,261.79,0.06
morning,n,259129,260.95,0.1
parent,n,258181,260.0,0.06
office,n,258157,259.97,0.17
course,r,257245,259.05,0.01
